CODGEO;P21_LOG;P21_RP;P21_RSECOCC;P21_LOGVAC;P21_MAISON;P21_APPART;P21_RP_1P;P10_RP_HABFOR;P10_RP_CASE;P10_RP_MIBOIS;P10_RP_MIDUR
68384;1214.06374331255;1141.47310624144;12.0984395118515;60.4921975592574;971.389781954387;208.09016800385;5.91152509993303;;;;
68385;397.997537895782;365.831295317326;6.62246170732924;25.5437808711271;373.318032145281;22.7873738341218;0;;;;
68386;509.968262143277;486.833232789069;1.00587084148728;22.1291585127202;429.487473552038;80.480788591239;7.0436764875523;;;;
69001;180.398262507286;151.756819633866;14.8511185269585;13.7903243464615;179.315933122204;1.08232938508162;0;;;;
69002;193.090039468569;118.090039468569;51;24;175.943584789511;17.1464546790588;0;;;;
69003;1230.9964686035;1110.00718583351;23.189612530915;97.7996702390762;597.845839798523;629.081964788962;31.5321461241376;;;;
69004;295.706700489731;261.493860144405;10.0626001015664;24.1502402437595;248.990926528807;46.7157739609244;1.02555692537084;;;;
69005;234.589879204369;223.06212991662;0;11.5277492877492;211.216486947095;22.3313625464764;2.12421159417975;;;;
69006;2678.70370438719;2229.02702574791;84.6924686226454;364.984210016639;1577.04925058824;1097.60731917346;18.830098301673;;;;
69007;1300.60039751318;1176.88384635692;14.0815586681919;109.634992488066;960.043905091193;336.62503335144;12.0529644415024;;;;
69008;299.939219580528;254.734748054437;22.6022357630457;22.6022357630457;284.57772747351;11.2565530347245;1.00378609243259;;;;
69009;3315.92291095435;3121.33920087782;53.2659318086603;141.317778267874;1931.34189022878;1369.91764869895;45.9941058174501;;;;
69010;3289.3671474311;2862.87297484664;53.6711767746741;372.822995809789;1224.60212781153;2001.61620855283;110.414759274928;;;;
69012;284.843316787759;250.739022309231;22.0674846625768;12.036809815951;270.430668668818;14.4126481189409;0;;;;
69013;1771.99014205867;1653.58062755365;22.1485422815144;96.260972223505;1202.54802689005;567.665379503465;5.28850863291773;;;;
69014;469.610432752356;412.09005867086;31.5798132212137;25.9405608602827;426.666376918054;41.0040979474544;0.963760668260435;;;;
69016;87.8139534883721;53;28.4841437632135;6.32980972515856;85.7589852008457;2.05496828752643;0;;;;
69017;352.572008753795;302.207979894828;27.4712884685271;22.8927403904393;324.553778770001;25.7289559447501;1.70982193220791;;;;
69018;1238.17369066786;967.863217296007;78.9991876403667;191.31128573149;705.208654719502;529.145526906347;23.2132564325024;;;;
69019;6116.76704952878;5701.85618995522;67.8856761605976;347.025183412967;3025.87827577032;3027.75059241309;92.1721763548197;;;;
69020;284.890518166348;270.143837523441;6.88178430002329;7.86489634288376;222.04803072555;62.8424874407979;1.95989498875517;;;;
69021;1137.13161817495;987.985803132517;62.3143473807435;86.8314676616918;904.976640083923;212.537007099799;10.4836671779342;;;;
69022;262.965781299024;224.965781299024;20;18;242.635602228907;20.3301790701169;1.03177049429681;;;;
69023;725.305508366031;633.790301207194;44.0628775209214;47.4523296379153;615.14917070618;103.778868932462;3.49843423670577;;;;
69024;2000.29947203789;1787.71056734372;98.1958274063542;114.393077287815;1561.79712856201;436.450666259261;16.5864547439425;;;;
69026;216.351228678003;191.980191098859;10.1545989913101;14.2164385878341;199.684004525684;16.6672241523193;0;;;;
69027;5713.04014717203;5435.38948778104;83.7542339057838;193.896425485198;2678.76692247445;2950.01270585199;162.622865205431;;;;
69028;2814.40600729305;2650.23600667583;41.2882636282831;122.881736988938;2099.08656547365;712.387090669556;27.7951959091583;;;;
69029;19831.3115650031;18370.6890824494;283.996830789548;1176.62565176414;3184.90839372;16491.2670695999;1778.49485747578;;;;
69030;400.017372417879;326.666803105845;39.1872904543745;34.1632788576599;371.200021792207;26.7911200708477;1.96195450065818;;;;
69031;584.796459821318;522.696532431773;21.0338463738778;41.0660810156662;470.283745977687;114.512713843631;2.01944543174933;;;;
